Ticker
AAPL
MSFT
GOOGL
AMZN
TSLA
NVDA
META
BRK-B
JNJ
JPM
V
PG
UNH
HD
MA
BAC
ABBV
PFE
KO
AVGO
PEP
TMO
COST
DIS
ABT
CRM
NFLX
ADBE
XOM
NKE
WMT
VZ
CMCSA
DHR
CSCO
CVX
ACN
TXN
NEE
BMY
QCOM
LLY
LOW
UPS
PM
ORCL
MDT
T
HON
UNP
